#{"t_start": 1768412679.8060753, "env_id": "None"}
r,l,t
-147.51115,166,0.421032
-514.23096,841,1.621346
-60.014698,14,1.652825
9.201046,62,2.153372
-147.6174,124,2.405485
-182.38547,401,3.051312
-170.14908,244,3.392776
-814.5194,1577,6.647316
-269.3988,563,7.512926
-104.10692,397,8.526968
-228.86389,302,9.023841
-1136.434,2899,14.569702
-252.718,456,15.230783
-90.40496,31,15.288312
-453.96887,1202,17.900376
-602.5154,455,18.68537
-318.83243,868,20.347055
-348.71054,457,21.388542
-289.14026,400,22.394242
-517.85455,1918,26.715194
-1771.8708,6546,40.845934
-997.121,4235,53.705709
-886.4119,1254,55.961955
