#{"t_start": 1768413873.9645023, "env_id": "None"}
r,l,t
-136.34525,182,2.944642
-174.0459,165,3.280231
-59.87106,13,3.341641
-52.40711,4,3.378814
-60.125557,14,3.444533
-6.547783,127,3.675267
-112.177795,55,3.799684
-136.93765,73,3.942394
19.584743,58,4.086296
-51.265686,3,4.146498
-102.19946,207,4.522761
-84.66701,31,4.613425
-52.098984,4,4.662654
-53.960827,4,4.711504
-91.52321,63,4.857827
-61.411522,9,4.915394
49.75858,3,4.962951
-368.4462,279,5.851038
-401.62796,306,6.308797
49.75858,3,6.331736
-68.41884,15,6.3902
-73.70476,22,6.507035
-69.761856,18,6.573653
-183.37563,112,6.857558
-242.10707,237,7.663534
-713.7542,718,9.278129
-414.19366,624,10.732475
-178.82585,102,10.941678
-59.204506,23,11.012454
-58.63842,7,11.040756
-611.76715,788,12.732443
-64.34041,20,12.778099
-153.517,146,13.024143
-57.967915,11,13.055902
-8.537689,85,13.221729
-51.322678,5,13.244389
-146.26111,110,13.410789
-56.408207,15,13.44661
-52.914467,6,13.473871
-61.84498,15,13.512109
-221.9194,310,13.932412
-55.49138,6,13.95903
43.757484,25,14.014116
50.0,1,14.031661
-31.309402,170,14.675248
-95.949265,189,14.954698
50.0,1,14.971889
-98.19694,44,15.04519
-60.80963,12,15.075522
-115.621925,56,15.168185
-61.703876,13,15.201285
-69.44183,62,15.296979
-198.48909,278,15.696536
33.448235,35,15.756242
-63.069572,34,15.817893
-61.542522,18,15.860663
-143.26602,126,16.05495
-130.85693,66,16.157286
-64.209694,34,16.60124
-83.59641,52,16.685373
-123.448875,48,16.775356
-58.424274,14,16.825508
-81.43535,36,16.91195
-282.3713,332,17.498091
-65.26384,19,17.563295
-301.3213,252,18.035904
-109.08438,75,18.159155
-189.66238,227,18.971995
-63.11424,22,19.02474
-63.4596,14,19.066707
-111.10654,87,19.273275
-78.61063,23,19.323897
-87.757126,100,19.499337
-62.313824,11,19.530604
-114.253174,124,19.735741
-109.86235,61,19.841912
-75.60844,34,19.92224
-51.2,3,19.949972
-163.62895,85,20.122621
-262.80283,210,20.502249
-52.484818,5,20.527449
-89.668655,59,20.644911
-64.42574,14,20.690661
-102.691284,46,20.77816
-65.55645,16,20.827822
38.84327,45,20.93601
41.923267,36,21.374603
-75.92871,54,21.473813
-71.40517,31,21.549834
-102.09541,53,21.65483
-126.7262,115,21.820271
-78.06176,22,21.865949
-182.83365,116,22.059294
-54.84813,12,22.101644
-290.88425,269,22.608528
-235.6792,289,23.060065
-83.19144,27,23.121431
-193.00337,102,23.675787
-187.1945,147,23.91485
-56.95047,10,23.946853
-54.805527,7,23.979305
-80.843765,56,24.07055
-71.02328,21,24.113192
-61.17727,28,24.167218
-277.78528,340,24.655574
-130.61649,84,24.781601
-60.860054,19,24.824219
-273.864,248,25.540326
-84.940315,32,25.605823
-158.56833,108,25.791978
-73.07869,24,25.839503
-180.1319,193,26.282565
-76.83334,30,26.364368
-115.5879,132,26.623842
-134.32056,243,27.040202
14.678757,56,27.166454
38.607822,34,27.232898
49.0,4,27.257012
26.157125,47,27.338037
-84.862976,45,27.418241
42.95858,16,27.458828
36.993534,36,27.527854
-94.80337,106,28.039036
-57.01245,8,28.065733
-52.686356,5,28.090049
-455.77646,423,28.734838
-72.52608,29,28.793196
-177.35062,197,29.078438
-96.599045,96,29.254686
-85.15294,33,29.321692
-93.17705,52,29.409627
-90.00333,42,29.485725
-158.60876,115,30.004478
-282.75107,279,30.392858
-258.58228,324,30.871254
-82.45755,57,31.005507
-62.706482,11,31.038605
-453.13766,636,32.282927
42.501804,20,32.323729
-114.442566,91,32.457983
-149.93655,122,32.637938
-63.854,12,32.670731
-70.31545,36,32.736185
-90.284744,49,32.815407
-275.99356,299,33.266173
-60.29937,9,33.294633
-182.17711,363,34.233745
-66.256195,128,34.421884
-65.14871,24,34.466499
-795.2393,689,35.885968
-103.96553,70,36.03347
-64.24568,38,36.102285
-204.68648,260,36.488448
-174.67795,136,36.683098
8.916332,70,36.78642
-71.95635,20,36.832657
-236.96112,133,37.028544
-162.61343,130,37.213572
-61.18293,38,37.679005
-68.87603,24,37.730403
-211.23581,260,38.105227
-81.2328,70,38.216202
-1463.0677,1577,40.861747
-126.40261,112,41.407563
0.91739655,119,41.599213
-1184.268,1740,44.471702
-112.09851,46,44.547868
-122.08609,82,44.678291
