#{"t_start": 1768416640.2029557, "env_id": "None"}
r,l,t
-95.54747,112,1.032781
-10.973576,145,1.672069
-104.154076,157,2.384297
-79.44062,74,2.771904
-61.14969,18,2.937262
-87.07063,77,3.293556
-15.615883,201,4.117659
-86.95477,36,4.39411
-84.67032,76,4.755259
-133.35316,134,5.893439
-19.63047,196,6.806436
-42.58851,194,7.521226
-89.76308,90,7.980393
-66.55935,13,8.141821
-140.02855,458,9.826283
-52.5,3,9.9509
5.3288956,134,11.13855
-76.88501,33,11.384865
-110.431244,92,11.821672
-71.85627,69,12.167946
-118.541855,117,12.632773
-101.83122,109,13.144067
-77.72268,24,13.320447
-60.026894,192,14.230741
-51.293114,266,15.580136
-2.2080803,112,16.758393
-88.82614,83,17.154603
-66.3403,211,18.054741
-93.14662,82,18.485898
-52.384205,3,18.593674
-42.850227,219,19.486464
-105.472305,125,20.093174
6.0950966,110,20.603814
-57.312687,10,20.753388
-33.615616,206,22.140765
-27.97718,179,22.933623
-92.34102,104,23.383802
-79.035866,72,23.75088
-5.387047,139,24.343922
-116.63519,91,24.811768
-101.800995,355,26.684965
-58.29169,10,26.832868
26.409706,96,27.332727
-81.991776,368,29.327128
-252.90308,400,30.603385
3.325611,104,31.086367
-94.132065,101,32.073448
-90.84651,56,32.348927
-69.56291,23,32.530175
-52.347595,3,32.647948
-103.08301,94,33.056051
31.212055,69,33.412763
55.78688,20,33.577638
8.372551,133,34.17491
31.680769,63,34.489519
-86.7146,46,34.76962
-102.43022,80,35.166908
-41.55661,193,35.929713
-1.0067978,141,36.519219
1.4178429,98,37.397868
-61.323566,9,37.538851
-95.293526,62,37.824993
-70.52587,28,38.053518
-94.099556,54,38.32584
-124.3101,90,38.775941
4.4681396,125,39.301489
-133.45108,124,39.796808
-49.33699,278,40.915708
21.742603,85,41.20373
-70.981544,321,42.870163
-64.38887,28,43.146465
-76.03899,43,43.470254
24.49148,122,44.142487
-66.04452,16,44.367205
-45.584137,333,45.876496
-88.97334,73,46.199621
-83.65738,48,46.482637
-52.219803,4,46.594487
-87.41687,34,46.836743
-104.40733,132,47.866989
-227.96346,436,49.537627
-93.14346,103,50.001961
-77.21956,30,50.231102
-116.97749,67,50.552549
-164.52988,212,51.373751
-133.39478,180,52.595187
14.4348755,149,53.230317
-2.342289,179,53.978959
-71.60679,30,54.200052
-72.92386,31,54.40099
-75.98729,38,54.669361
-106.63861,53,54.970371
-88.153046,36,55.210505
12.218353,158,55.787044
-60.85505,12,55.935028
-116.2339,111,56.411272
-66.49571,24,56.613966
-52.384205,3,56.741273
-164.17105,148,57.382073
-111.46677,137,58.340057
-54.226597,8,58.48194
-141.14795,190,59.316423
-112.64986,61,59.604546
47.25858,8,59.727001
-111.90622,100,60.192327
-35.451904,166,60.9025
-155.06165,156,61.587516
58.117157,16,61.756853
