#{"t_start": 1768417706.17041, "env_id": "None"}
r,l,t
-136.34525,182,3.263734
-174.0459,165,3.560526
-59.87106,13,3.622708
-52.40711,4,3.663562
-60.125557,14,3.726136
-6.547783,127,3.95751
-112.177795,55,4.085414
-136.93765,73,4.265013
19.584743,58,4.447547
-51.265686,3,4.502699
-102.19946,207,4.897922
-84.66701,31,4.982487
-52.098984,4,5.027432
-53.960827,4,5.071025
-91.52321,63,5.199945
-61.411522,9,5.257638
49.75858,3,5.300057
-310.63953,244,6.121625
-89.7227,35,6.188943
48.404915,11,6.228551
-78.89684,24,6.278903
-133.32645,80,6.411892
-93.42958,39,6.483087
-262.78763,170,6.824182
-134.19434,96,6.98078
-150.65009,123,7.222332
-194.58076,163,7.487143
-332.6688,266,8.350353
-58.61663,20,8.407358
-250.11473,181,8.744963
-239.03726,190,9.167313
-61.711674,16,9.218535
-1673.813,2156,15.246753
-114.25589,78,15.402406
-113.928024,88,15.577077
-62.366478,29,15.66076
-68.45153,18,15.743454
-63.171753,24,15.84499
-53.548527,6,15.888009
-67.99622,23,15.948982
-88.85535,30,16.608439
-65.45293,14,16.659242
-80.999886,66,16.776951
31.876053,50,16.873455
-85.28829,70,17.012206
-132.96245,154,17.281253
-50.44142,3,17.306579
-52.204987,3,17.332419
-71.45146,24,17.384098
-64.704254,13,17.422536
-133.32635,98,17.58758
-76.9688,57,17.690449
41.490757,30,17.767029
-75.69053,73,17.942435
-76.19235,32,18.028108
-108.14029,72,18.193107
-103.032974,69,18.339363
-86.031586,45,18.521278
-78.77108,61,18.677501
-98.02728,90,19.514222
-215.43907,113,19.739963
-103.744156,101,19.904641
-215.89435,141,20.152383
-184.07436,184,20.538491
-70.37322,20,20.611141
-108.028305,89,20.843273
-244.64441,186,21.162185
-249.96628,299,22.021462
-57.48541,20,22.070537
-58.612366,9,22.10136
-76.54255,29,22.169821
-94.2511,35,22.247606
-92.35631,107,22.419802
-53.83248,4,22.444755
-31.801826,170,22.740684
-94.39252,37,22.818101
-70.97212,27,22.8778
-69.15622,29,22.935711
-94.4525,32,23.00382
-137.27501,69,23.194343
-61.909813,18,23.243922
-126.63358,182,23.588847
-69.85277,19,23.632151
-85.130905,32,23.697211
-68.13365,14,23.736635
-145.65099,138,24.374976
-83.07565,71,24.495855
-62.14559,24,24.547318
-77.30524,30,24.607849
-309.27316,279,25.030564
