#{"t_start": 1768417933.263856, "env_id": "None"}
r,l,t
-265.52582,305,0.703204
-85.87082,78,0.830464
-51.265686,3,0.85777
-75.66957,65,0.969013
-54.360752,9,1.001846
-75.35545,85,1.141617
-60.763176,17,1.184475
-150.56215,117,1.397227
-90.396866,86,1.546672
-75.639694,88,1.704168
-125.45496,140,1.930715
-63.8723,18,1.975993
-82.13753,72,2.760966
0.25977707,72,2.926953
-75.71191,48,3.013879
-52.5,3,3.035762
-66.30585,43,3.116745
-101.246414,57,3.222615
-165.28976,161,3.492382
-73.08707,98,3.669177
-54.32005,5,3.705411
-51.9,3,3.729752
-75.08274,45,3.815354
-166.01477,94,3.980381
-119.80356,88,4.126878
20.668095,58,4.231431
-103.59635,103,4.401263
-135.36691,129,5.193686
-55.940998,17,5.23608
-61.00025,10,5.27531
-111.01875,91,5.439678
-191.97615,249,5.872739
-76.5439,72,6.005305
-55.665047,9,6.037789
-87.22333,59,6.139476
48.276394,8,6.172541
16.36552,45,6.262082
-63.187035,32,6.344358
-59.960026,30,6.416307
-51.318176,3,6.437947
-31.316673,180,6.733808
-51.900654,3,6.755797
-56.67981,34,6.835912
-102.75636,123,7.080287
-76.97947,59,7.720423
-8.57222,82,7.871639
-55.17621,16,7.920753
-73.9187,24,7.976112
-55.060898,6,8.007499
-61.22824,11,8.045459
-92.82876,68,8.216102
-68.8517,34,8.362856
-93.30347,104,8.559212
44.317272,19,8.612302
-61.37676,17,8.663492
-51.42341,3,8.68715
-55.144855,9,8.720877
-117.15178,85,8.871817
-60.744747,29,8.937918
-145.23997,393,9.669251
-58.533787,7,9.699202
-57.300354,12,9.737761
-93.22897,44,9.830413
-162.53743,179,10.589302
-65.54912,23,10.646945
-194.61064,269,11.122969
-102.91499,79,11.267482
-72.091705,47,11.370236
-51.688637,6,11.399752
-318.30734,433,12.203928
-83.84979,60,12.789489
-52.43607,3,12.812
48.752785,6,12.844195
-78.411575,25,12.905745
-80.57864,65,13.034966
-110.64688,93,13.199618
-69.54186,27,13.258838
-172.91418,215,13.636151
-57.455894,7,13.674997
-36.530243,191,14.084485
-55.97092,16,14.136555
-67.71436,38,14.230216
-54.521053,5,14.261053
-54.511765,6,14.294838
-68.25561,17,14.339087
-57.44323,25,14.400402
-59.997593,36,14.479392
-51.950752,5,14.509063
-54.43309,7,14.54717
-81.094894,32,14.645317
-51.265686,3,14.66895
-52.43607,3,14.695765
-92.10605,48,14.799562
-51.40645,4,14.83254
-89.13754,84,14.995963
-134.65059,371,16.11248
-152.52824,119,16.504098
-56.65096,6,16.561345
-83.74109,61,16.743247
-114.72909,125,17.00545
-62.468872,23,17.064411
-89.11278,60,17.192296
-52.097366,3,17.218329
-111.27867,116,17.441175
-112.607635,82,17.602
-51.65602,3,17.625759
-57.1414,12,17.666549
-66.88827,58,18.263
-65.62622,19,18.318686
-180.15805,175,18.630011
-61.413074,15,18.692959
-87.554016,76,18.915338
-51.727337,3,18.941023
-146.26581,193,19.350582
-97.06402,146,19.615591
-84.73311,37,19.69572
-85.26088,78,19.846711
-52.795742,16,19.896371
-61.342133,30,19.965334
-55.866222,10,20.007557
49.4,3,20.032074
-108.87404,118,20.263866
-108.49037,132,21.014905
-87.88939,46,21.171622
29.838547,75,21.344517
-78.34847,28,21.416048
-144.11351,126,21.646392
-61.667183,22,21.699447
-116.47553,127,21.961515
-112.890335,57,22.087192
-66.64077,42,22.174306
-123.28224,307,22.702346
-14.579994,83,22.8625
-57.748314,12,22.901401
-66.43993,22,22.961098
-64.409164,26,23.021125
-77.48834,30,23.663237
-133.95804,93,23.8503
-57.61289,20,23.905081
-100.86178,106,24.109452
-63.518375,13,24.148304
-57.60506,8,24.180652
-309.5768,448,24.973146
-117.27018,98,25.159002
-64.62606,22,25.219983
-87.94754,49,25.325371
41.813156,29,25.395689
-63.02703,14,25.436327
-51.459526,4,25.472579
-62.187386,27,25.544436
-61.886204,20,25.619885
-60.18165,25,25.717973
-69.20116,35,25.833486
-68.63343,23,26.403072
-103.69685,106,26.609735
-51.982185,3,26.637495
-60.901115,9,26.672099
-75.25058,22,26.729388
46.390846,14,26.775606
-51.632397,3,26.802492
-52.43798,5,26.830816
-89.08184,76,26.980324
-55.092934,11,27.028136
-86.09847,49,27.180818
-124.83932,167,27.904733
-52.72439,4,27.948716
-52.261917,3,28.003181
-88.326645,39,28.15212
-53.569153,17,28.218762
-83.40621,53,28.40343
-53.38554,4,28.440646
-152.91121,110,28.715863
-71.07396,22,28.790936
-66.867935,47,28.463095
-70.03047,63,28.759029
-94.895874,55,29.056009
-121.138725,67,29.310416
-83.07373,48,29.518486
-51.713333,3,29.571819
-74.00834,61,30.765598
-78.49554,54,30.956272
-87.87691,65,31.185081
46.763496,22,31.24662
-247.16464,408,32.212564
-54.9998,14,32.313365
-117.02114,138,32.710798
-50.647213,3,32.759964
-77.32429,52,32.920334
44.11307,22,33.009723
-146.41812,144,33.389604
-51.503277,3,33.436967
0.28621674,109,34.216531
-89.19805,92,34.407651
-51.321613,3,34.442559
-61.76648,17,34.535563
25.31383,81,34.731884
-50.665028,5,34.764684
23.084158,47,34.873162
-68.31935,38,34.968305
-56.982597,10,35.012012
36.111057,51,35.11741
7.685623,70,35.286936
-58.36694,7,35.323703
47.661095,10,35.367079
-53.7,5,35.398687
-66.80959,39,35.485667
-106.598465,83,35.661707
-51.2,3,35.694803
-51.248417,3,35.728742
-61.641796,28,35.822788
-107.70059,71,35.993176
46.275127,13,36.034065
-149.86386,166,36.348343
-113.593155,116,37.137728
-52.1,3,37.168538
-67.746475,44,37.280473
-68.09909,22,37.340309
-58.097656,21,37.402043
-10.240627,88,37.589353
-52.34039,5,37.620677
-6.735016,118,37.858942
-52.526337,3,37.892292
-119.94155,105,38.132928
-58.611168,7,38.170777
-52.337837,3,38.19844
-57.179733,17,38.255232
-54.27438,5,38.287986
-156.25496,188,38.654956
-56.807625,10,38.697015
-69.57377,23,38.761604
-51.321613,3,38.7927
-56.165043,25,38.859439
-121.70588,174,39.266891
-89.390755,49,39.387873
-92.50218,73,39.552205
-57.467354,12,39.599366
-51.93844,4,39.631975
-84.97244,60,40.357059
-81.09115,83,40.527162
-74.54573,49,40.652581
49.0,6,40.705502
-52.309525,3,40.741873
8.283447,67,40.911416
-78.691795,26,40.988147
-197.92754,251,41.497285
