#{"t_start": 1768471373.942316, "env_id": "None"}
r,l,t
-136.34525,182,4.396728
-174.0459,165,4.78728
-59.87106,13,4.862406
-52.40711,4,4.926342
-60.125557,14,5.006029
-6.547783,127,5.346654
-112.177795,55,5.543042
-136.93765,73,5.736465
19.584743,58,5.913785
-51.265686,3,5.972178
-102.19946,207,6.44669
-84.66701,31,6.571339
-52.098984,4,6.629996
-53.960827,4,6.706123
-91.52321,63,6.892308
-61.411522,9,6.972314
49.75858,3,7.035931
-237.40482,198,7.607722
-102.14017,39,7.734409
-44.273476,195,8.18315
-65.72359,13,8.260158
-63.390663,13,8.391242
-61.499275,12,8.494631
-173.08093,102,8.773445
-153.80817,127,9.105962
-144.34332,123,9.405479
-195.4073,163,9.795312
-798.94476,657,12.093248
-55.688232,16,12.145072
-76.93129,21,12.207011
-481.28815,652,13.515458
-83.11171,41,13.634128
-1219.9066,1497,17.614168
-63.679634,16,17.667061
-123.30612,95,17.888534
-61.32215,29,17.991256
-123.25362,71,18.157512
-68.123695,30,18.252571
-59.725483,14,18.299959
-100.39592,78,18.518431
-100.2119,42,18.614547
-75.351524,25,18.680445
46.140545,13,18.724693
-189.73293,183,19.132538
-85.82817,87,19.322019
-304.00128,216,19.750397
49.9,2,19.777147
-83.15886,27,19.846463
-118.353676,72,20.037622
-178.17705,188,20.515509
-55.116226,5,20.548289
-104.669815,85,21.636106
44.57486,16,21.686158
-133.52188,140,22.01279
-77.93022,35,22.134285
-60.818798,12,22.252668
-53.397057,6,22.306843
-197.05511,133,22.722765
-126.02523,184,23.212291
-255.91936,259,23.825814
-89.02411,29,23.917691
-73.64554,32,24.009346
-297.03986,209,24.488118
-117.24824,69,24.652884
-66.47732,16,24.714704
-91.546936,73,24.897321
-127.721596,88,25.093892
-101.9348,97,25.310781
47.692894,7,25.346122
-64.27929,15,25.398849
-74.72426,28,25.480765
-60.078957,9,25.521481
-97.49017,77,25.724934
-78.01396,24,25.788133
-87.88524,261,26.30158
-112.46565,49,26.489996
-91.2991,62,26.649978
-55.16423,9,26.684157
-69.08072,14,26.759258
4.1405716,66,26.983263
-61.957687,27,27.982164
-67.496735,36,28.080526
-66.33336,19,28.146095
-54.521053,5,28.177776
-104.55292,77,28.348446
-63.528797,40,28.443119
35.776073,44,28.551022
-52.034523,4,28.581926
-75.95521,32,28.686468
-203.93144,138,28.963256
-53.03631,6,28.995872
-58.36313,9,29.033399
-206.97693,135,29.353524
-67.69919,42,29.453493
-63.12838,15,29.505942
-62.17581,12,29.553877
-165.74017,102,29.779113
-76.3217,19,29.834676
-134.01111,75,29.992791
-58.9794,11,30.032698
-63.519173,21,30.102174
-413.5342,398,30.898918
-71.82963,22,30.967176
50.0,1,30.996255
-64.37499,28,31.081637
-89.25993,45,31.189336
-51.124264,3,31.21565
-57.909515,29,31.285547
-230.0832,230,31.800383
-120.10938,57,31.936547
-60.06326,9,31.97451
46.679337,11,32.015915
-67.78374,18,32.070074
-133.01514,127,32.360142
33.838726,48,32.518753
-41.698074,127,32.761176
43.286472,17,32.814896
-52.54787,11,32.855637
42.96349,25,33.898282
-158.67644,140,34.183692
-54.681126,10,34.22435
37.921196,38,34.328012
-160.29318,159,34.71035
-60.36339,12,34.759804
-58.92708,26,34.834349
-167.27667,99,35.080871
-86.91402,39,35.167628
-56.54876,10,35.205277
-186.1861,232,35.701127
-120.36302,52,35.820856
-523.3324,487,36.939522
-248.43262,181,37.290712
-168.90428,130,37.545596
-181.73114,169,37.969663
-97.148285,63,38.105835
-60.22605,17,38.164766
-96.388504,51,38.305114
-99.660675,55,38.448599
-36.46382,133,39.628086
-127.22251,90,39.825188
-101.04343,49,39.935797
-52.172962,3,39.967277
39.393524,26,40.036214
-90.0043,50,40.157799
-86.54973,41,40.255398
-61.710052,11,40.294903
37.320175,41,40.402096
-52.097366,3,40.447101
-69.13959,33,40.601191
-129.3234,125,40.942825
-53.459297,5,40.97995
48.79355,9,41.016263
-87.07669,49,41.125674
-114.41796,70,41.291654
-331.85458,267,41.8564
-57.09651,7,41.890584
-135.13286,57,42.013805
-92.46645,40,42.125738
-145.07385,454,43.079878
-112.89505,66,43.219904
-65.36482,22,43.27806
-144.75436,123,43.523985
-90.06384,49,43.63254
-66.696236,25,43.701437
-54.96177,146,44.079777
-55.208008,8,44.122766
-351.2318,307,45.846041
-111.93753,55,45.968308
-60.997124,22,46.029031
-240.7017,273,46.608634
-61.40166,14,46.655239
-165.87814,199,47.053102
-382.2984,272,47.629912
31.726381,46,47.739053
-201.21733,324,48.579323
-54.965885,8,48.625323
-440.83627,527,49.661181
-162.06345,130,51.030687
-198.13495,158,51.374483
-105.60588,127,51.706853
-78.47713,54,51.888282
-409.0842,390,52.861696
-127.44718,185,53.300214
-52.216038,5,53.335495
-55.780697,10,53.38126
-58.703236,27,53.469276
-56.627518,17,53.54055
-234.46158,260,54.099329
-104.06621,94,54.369944
-112.18361,89,54.593843
-55.183533,7,54.640523
-72.99555,62,54.793206
27.121511,56,54.937142
-58.238297,10,54.981327
-70.7365,28,55.062471
-91.664375,60,55.204217
-54.275448,16,55.265595
-16.396706,115,55.539393
45.430107,16,55.595521
-231.47594,184,56.018153
-69.608025,37,56.121241
-290.8537,222,57.709752
-59.36845,8,57.748055
-451.39236,694,59.345634
-66.470245,18,59.399779
-64.27566,28,59.484136
-178.49423,119,59.762476
-87.57134,48,59.876374
-82.61776,39,59.976413
-68.22413,29,60.058924
-221.36476,195,60.451661
-98.85757,94,60.691828
-244.91913,581,62.918982
-168.81593,121,63.238884
-110.38502,51,63.404532
-68.36992,30,63.481329
-85.681305,49,63.618764
-305.71045,669,65.047551
-170.28546,141,65.376663
-105.08864,96,65.641323
28.161304,44,65.792243
-79.41644,23,65.854571
-189.75827,137,66.178724
-167.44585,95,66.390648
-116.827545,51,66.578621
-73.01555,58,66.755888
-81.896164,31,66.846964
-125.84759,83,67.085631
-101.23213,62,67.234473
-61.52729,16,67.288157
-71.025215,56,67.428388
49.276394,5,67.461839
26.798964,43,67.57419
-126.55469,93,67.79665
-131.56464,116,69.279361
-104.5193,82,69.510305
-298.45734,488,70.599205
-126.19882,106,70.854673
-340.5896,515,72.040407
-141.04779,187,72.553884
47.46508,15,72.616399
-57.410526,8,72.656457
-40.01066,173,73.07682
-243.16512,138,73.526526
-133.0304,117,73.862616
-58.659683,12,73.921149
-318.19205,322,76.316671
-102.40229,118,76.805506
-222.99191,416,77.746339
-1103.5988,1440,81.666444
-59.228287,7,81.702285
13.827553,107,81.939025
-54.977325,5,81.971737
-107.71363,41,82.065085
-51.689587,3,82.093862
-199.92416,224,82.529482
-129.84558,124,82.827356
-52.00554,3,82.854905
-105.18596,66,83.036535
-164.90025,182,83.454373
-73.42592,21,83.510842
-426.86057,541,84.663563
-118.7877,95,84.868814
48.317158,7,84.905481
29.850145,47,85.021796
-98.780594,132,85.301698
-57.47036,16,85.385225
-53.296257,6,85.431101
-86.58986,102,85.64853
-102.18109,111,85.878423
-72.144714,18,85.933227
-61.515617,11,85.974423
-83.29094,39,86.077882
-130.24138,292,87.532783
-215.02426,220,87.980575
-243.13605,161,88.305283
-224.93573,181,88.710409
-169.45546,85,88.89467
-175.34749,130,89.231601
-119.314865,93,89.492142
-192.99124,146,89.791028
-144.34167,100,90.000468
-364.7233,365,90.695569
-65.864044,15,90.745274
-257.5255,280,91.314944
-73.929016,29,91.386708
-122.443275,75,92.473251
-103.62039,89,92.686928
-639.01654,693,94.197709
-65.03174,16,94.252854
-103.90712,67,94.401416
-86.07328,52,94.541215
-70.28807,27,94.61332
-51.76205,3,94.643537
-107.99576,56,94.774189
-94.70912,46,94.880623
-22.582405,166,95.230735
-146.14075,172,95.57852
-338.9849,376,96.378043
-176.29666,183,96.742487
-12.4454155,118,97.84885
-80.058525,31,97.94166
-94.80119,40,98.037266
-161.78351,144,98.338788
-57.027027,9,98.377831
-106.297455,64,98.556321
-159.6984,117,98.793329
-258.92938,235,99.305061
-563.6036,598,100.434263
-147.04437,164,100.816867
-37.26998,104,101.058021
-101.66412,335,101.809528
-94.67627,62,101.984745
-63.523727,19,102.053068
-109.90862,52,102.209779
37.748062,35,103.251592
-14.962761,128,103.51316
-130.5545,128,103.783252
-8.359676,145,104.076557
-99.57329,63,104.215132
-97.39546,126,104.533044
16.5127,117,104.768598
-180.34232,166,105.101356
-73.02235,30,105.176013
-354.65695,399,106.044381
-189.4851,123,106.327213
36.734562,39,106.424336
40.92054,32,106.516004
49.9,2,106.541213
-114.17445,103,106.878054
-91.52414,68,107.078657
-64.07979,13,107.154633
-45.68734,128,107.53534
-167.08089,204,108.094954
-69.59525,26,109.127088
-81.866615,52,109.263128
-97.71589,106,109.473728
-351.1039,589,110.657054
-129.93039,178,111.057458
26.501053,65,111.228088
-122.23798,90,111.423347
-192.77731,162,111.822593
-89.177826,47,112.090328
-296.39093,288,113.012322
-52.192715,3,113.038883
-234.97598,192,113.447958
-57.141327,11,113.497397
-156.74329,115,113.780718
-63.29218,23,113.84695
-271.78143,233,115.342829
-85.59094,39,115.448928
-82.24389,57,115.604338
-37.90763,146,115.971415
-95.828995,45,116.104342
42.481262,22,116.17946
-139.6213,284,116.821819
-140.00887,195,117.283371
-263.89706,473,118.398771
-122.69274,124,118.733921
-24.986336,106,118.962119
-204.19336,366,119.792521
34.893467,54,119.937794
-64.97047,14,120.954037
-140.38177,126,121.255794
5.8399887,124,121.575251
-470.97592,617,122.888009
-242.3431,261,123.558348
-137.6903,72,123.761417
-65.42089,12,123.828297
-95.53265,56,123.971092
-61.78476,12,124.017093
-117.536514,101,124.265642
-61.404194,16,124.320605
-126.77652,327,125.070089
-164.2082,182,125.503107
-155.74448,138,127.273069
-137.515,71,127.503349
-84.8096,82,127.7047
47.92033,10,127.75013
-57.930305,25,127.834515
-63.95571,157,128.264676
-174.16254,360,129.111785
-64.56002,31,129.213804
-74.05308,29,129.317499
40.063313,44,129.455082
-196.25644,186,129.903174
-102.81689,60,130.063725
-56.713352,8,130.103739
-338.8253,690,131.603366
-149.87338,100,131.806155
-53.617302,5,131.836533
-113.06351,169,132.179804
36.059772,42,133.163468
27.143938,54,133.290678
-155.15657,185,133.659976
-59.436016,29,133.735097
-152.01135,141,134.016829
-81.22325,40,134.113689
-105.52336,158,134.482925
-104.737976,58,134.630125
-89.3645,197,135.01119
-33.99314,142,135.342547
32.518173,44,135.457568
-60.044537,13,135.50285
-50.70645,3,135.540189
19.53307,47,135.723427
-498.65668,485,136.671502
-85.5085,66,136.810982
-83.69342,57,136.935138
8.737068,110,137.164986
47.383774,10,137.204271
-54.076824,7,137.237988
-65.0464,16,137.285985
16.739746,69,137.51294
-70.56542,23,137.601405
-164.84158,151,139.258749
-63.10995,12,139.322543
-23.010895,119,139.689662
-53.357483,4,139.727049
-23.971535,153,140.254647
-56.9977,22,140.333619
-65.56907,22,140.408686
-109.31615,74,140.626202
-88.48454,70,140.879471
-28.67408,129,141.267989
-143.27757,133,141.654555
33.885803,35,141.747318
-79.68031,33,141.830935
-47.54409,103,142.153232
-96.53829,56,142.492457
-155.3118,205,143.040215
24.137602,47,143.217253
-63.872177,29,143.309679
-60.010254,25,143.396313
27.527163,52,143.537139
29.326174,71,143.684615
-312.0423,370,144.422824
-104.07866,91,144.633625
-221.37427,202,145.890954
-177.16443,167,146.273306
-62.10536,12,146.314724
-119.62166,71,146.464736
-221.66112,207,146.843498
-88.913445,46,146.988071
-23.981377,120,147.269584
-82.33497,62,147.418343
16.404705,62,147.543996
50.0,1,147.580042
-83.49339,61,147.735767
-71.59967,58,147.85603
-77.358406,26,147.927537
-51.503277,3,147.964259
-85.39361,80,148.200194
-63.928577,33,148.28562
-57.455,16,148.342817
-68.069275,21,148.403617
-52.83219,203,148.812208
-343.31818,274,149.395288
18.83391,74,149.594347
-59.319305,14,149.666839
-97.0923,121,149.8859
-398.6336,425,151.715773
-544.16846,533,152.713358
-1011.08826,985,154.591886
-234.47821,292,155.118993
44.64208,14,155.175322
-169.22885,181,156.494642
19.823927,52,156.6159
-82.73174,50,156.743668
47.75213,6,156.778575
-270.83127,242,157.266901
45.934093,13,157.31457
-406.13998,350,158.116562
-155.85376,136,158.421657
-1717.5054,1369,161.960896
-64.5958,16,162.007718
13.001057,56,162.138455
7.4450645,70,162.288083
-6.580448,109,162.49905
40.25617,39,162.589715
-601.6666,1081,164.962801
-113.14909,84,165.196758
42.920097,17,165.259388
-115.14222,76,165.42997
-90.0627,53,165.562099
-75.24862,33,165.653741
-0.05518341,65,165.812631
47.846336,11,165.852469
30.162596,35,166.911611
-460.34283,475,167.820014
-1071.7655,1941,172.785723
32.343212,38,172.969209
-148.6551,96,173.250176
-135.09793,112,173.559157
-128.28394,76,173.743607
-109.63877,60,173.882576
-310.17563,456,174.740632
-117.93338,97,174.930588
36.66862,20,174.985837
-127.29557,109,175.220928
5.0658264,94,175.411487
34.560955,43,175.507894
-85.29886,108,175.735776
-146.50706,332,176.402008
-150.44542,203,177.636282
-80.56775,63,177.77024
-4242.796,4671,188.71163
45.0,12,188.7734
-157.1845,118,189.016487
-109.810715,86,189.188402
-306.1012,291,189.722916
-79.70294,26,189.808754
-76.31606,24,189.873836
-70.401505,18,189.923324
-67.63536,31,190.011544
-73.38533,38,190.132232
-184.35913,469,190.969799
-66.411995,26,191.036545
-82.898346,71,191.186754
-153.65971,232,192.583148
-192.87808,188,192.937206
-137.38074,169,193.253424
-66.06021,20,193.312278
-93.78827,59,193.441124
38.34442,24,193.508041
-15.112579,168,193.839846
-57.314053,10,193.875688
-88.06278,78,194.039092
-61.51049,22,194.107213
-56.911694,8,194.139713
-200.43144,185,194.576639
-63.76429,16,194.630989
-79.49818,39,194.722111
-164.46011,221,195.180182
-90.34886,33,195.259758
45.951317,14,195.305047
-80.63518,51,195.414452
-845.0227,881,197.90598
-48.015686,132,198.186153
-148.95862,194,198.592389
-140.90027,91,198.775539
34.691425,28,198.843959
-76.38237,34,198.928845
-101.51151,129,199.230744
-84.738525,38,199.322543
34.164818,39,199.410702
-145.5538,312,199.984789
-149.24826,138,200.256444
-77.40924,45,200.360875
18.486609,66,200.499893
-98.08146,43,200.594161
-247.94452,415,202.586702
32.077267,35,202.745926
-368.83374,659,204.030266
-93.95133,67,204.172287
-121.93014,125,204.4153
-15.524712,84,204.587945
25.084078,70,204.786108
-6.613529,106,205.015254
-146.67366,87,205.183161
-63.108345,133,205.432386
-86.34778,63,205.560051
-11.399677,100,205.781934
-60.23195,23,205.84031
-112.15859,71,206.025794
48.08629,7,206.056951
-50.56503,3,206.084531
-55.68071,9,206.122723
-83.84854,46,206.220641
-52.110527,3,206.246372
-218.287,157,206.543213
-69.83667,30,206.615737
-86.2446,52,206.735028
-70.247055,22,206.799375
-355.2524,440,210.473263
-145.62671,314,211.347338
41.9277,37,211.442301
-10.73317,131,211.768186
-139.51031,121,212.067044
-152.25568,72,212.238236
-158.39825,185,212.702108
-81.43492,156,213.136425
6.28566,100,213.447568
-11.25428,75,213.74188
-14.939247,138,214.092756
44.440598,18,214.16324
-12.545181,108,214.503369
-120.36423,108,214.842554
-48.460846,106,215.144251
-71.46208,30,216.256007
43.303345,27,216.341377
48.8,3,216.371591
-95.4951,77,216.589233
-37.09091,240,217.189485
-320.2812,609,218.359253
-137.48323,174,218.677596
-55.062443,10,218.717486
-514.369,440,219.538726
-101.387024,59,219.665462
-65.66434,36,219.757262
-424.05798,626,221.79554
-105.27865,62,221.92217
-49.88616,216,222.361863
-88.36046,48,222.481184
-108.44063,127,222.759546
-117.58454,107,222.969404
-91.99147,60,223.124522
24.913113,51,223.23495
-151.61307,184,223.61809
-264.37308,275,224.171753
25.781918,72,224.366479
-112.44731,67,224.566369
34.92807,27,224.641478
46.928524,8,224.68866
-275.08975,517,226.537588
-114.1826,140,227.024692
-70.73829,16,227.073732
31.435875,51,227.198915
-81.75548,23,227.27084
26.140936,62,227.401777
-127.848854,105,227.602176
-160.5999,112,227.832235
49.4,2,227.855907
-186.22137,114,228.074136
49.5,1,228.098513
-69.794525,46,228.19664
-52.869793,7,228.229306
31.163969,53,228.348711
-66.49083,13,228.398557
-40.711952,139,228.690897
-91.9427,31,228.763613
-52.885086,4,228.791366
-73.89859,19,228.844663
-307.92612,585,229.992767
-118.41759,45,230.097551
-177.77588,127,230.333314
-156.83316,339,231.906062
-130.05707,175,232.406483
-7.276188,83,232.691546
-109.910065,76,232.886389
-51.406,3,232.913118
-0.7458458,71,233.060286
29.17293,69,233.207626
-33.905678,161,233.50777
-84.65156,40,233.615185
-71.610275,21,233.674863
-7.2086945,109,233.968461
-78.93391,43,234.062517
-346.5182,539,235.022882
-91.51754,49,235.140403
-99.081345,103,235.352056
-75.786125,22,235.408901
-148.24057,152,235.69312
-313.42587,290,236.331665
-43.643883,139,237.571834
-160.67819,164,237.916503
-102.07474,52,238.030214
-20.411873,148,238.310979
4.0011826,95,238.59785
-77.64338,33,238.678301
-95.35303,89,238.859029
-56.84152,8,238.892561
-75.080124,25,238.96004
-155.55174,116,239.198973
-78.15725,35,239.279037
31.55039,39,239.36982
-86.35011,68,239.519533
-164.36586,153,239.807469
49.4,2,239.832139
14.013973,81,240.002988
-57.579605,6,240.031745
28.964863,37,240.117896
-160.07816,120,240.396092
-54.907364,9,240.433588
-122.02248,282,241.00601
-191.38576,173,241.330669
9.13446,91,241.510427
-45.137794,193,242.871164
-247.32365,227,243.453548
18.659918,63,243.624735
-37.84687,175,243.982015
49.4,2,244.005177
-172.99945,179,244.373093
26.178196,74,244.573519
-52.108276,4,244.610388
-69.59289,16,244.697321
49.8,2,244.724653
-77.376816,36,244.828697
-19.662506,93,245.022966
-94.968216,46,245.122658
-129.41786,81,245.332657
-67.46538,20,245.40037
-152.7172,178,245.749893
-102.538574,110,246.000212
-121.07085,79,246.178282
-109.76204,113,246.394458
-115.936745,95,246.588634
-74.082535,59,246.741395
-71.47349,23,246.816409
45.91721,20,246.88424
-75.91498,24,246.950261
-85.21376,63,247.090313
33.137787,53,247.201502
29.543339,36,247.283713
-56.758224,8,247.320988
35.767147,42,247.412797
-104.23226,37,247.526529
-137.78546,127,248.603447
-209.3301,255,249.106475
-2.9970284,95,249.336861
-363.21063,607,250.536277
-88.783264,66,250.688902
-52.056187,5,250.715592
-86.49426,37,250.799925
-10.59491,119,251.060241
-86.10838,35,251.148475
-109.516136,110,251.384963
-11.838425,146,251.703363
-92.44997,32,251.777902
49.4,5,251.80665
-59.25936,16,251.855778
-66.74391,22,251.913473
6.975643,57,252.037649
-3.0670853,73,252.234257
-53.174587,4,252.262098
-128.81851,135,252.533718
-190.78601,137,253.670417
-57.95174,13,253.712692
-100.18246,110,253.936523
41.53879,24,253.995455
-65.19612,17,254.054486
-111.57516,55,254.191659
9.44556,64,254.3293
8.035679,78,254.50716
-72.329666,27,254.575974
40.777817,30,254.64801
-186.67912,319,255.286974
-52.708305,3,255.314233
-123.91829,103,255.517189
-64.75124,16,255.569377
-51.657394,117,255.798678
-105.72705,66,255.938068
-58.45346,12,255.978509
-51.546284,4,256.004438
-385.6996,328,256.633782
-121.66366,66,256.830631
-64.19525,41,256.933778
-75.153435,44,257.034642
-54.020287,9,257.073868
-121.80512,79,257.233515
-68.14765,21,257.289392
-151.66766,296,257.814344
-86.51314,81,259.243898
-91.747894,42,259.350482
-181.65355,157,259.667182
48.560165,5,259.695141
-84.50816,57,259.813522
-94.21864,78,259.974527
43.951637,23,260.034188
46.57486,14,260.087058
-317.53802,357,260.718154
-68.48726,24,260.78225
-76.447624,44,260.883395
49.158577,3,260.909779
-52.72204,7,260.944242
5.8935165,65,261.082498
-74.392914,28,261.2004
-65.28346,21,261.275934
22.160748,38,261.367002
-86.58115,43,261.46015
-452.6966,504,262.636566
22.368818,50,262.847285
-52.995205,5,262.888405
-90.09003,56,263.044161
-81.54007,37,263.126931
-102.90793,72,263.285233
36.535343,51,263.399665
-69.428696,27,263.486143
-80.34001,51,263.620126
-55.045837,7,263.652828
-68.535576,31,263.730582
-51.321613,3,263.758258
-158.83064,160,265.071985
-112.354034,74,265.227405
-105.274506,96,265.417515
-146.35138,163,265.733489
47.32033,9,265.787601
-55.809525,6,265.823481
-73.50002,28,265.909771
-208.51128,187,266.30609
-86.488785,58,266.431171
-66.17249,20,266.514057
-70.78371,16,266.570379
-51.688133,3,266.596645
-79.01161,46,266.698704
-31.492157,172,267.022912
-68.490875,23,267.088726
-100.90691,74,267.239418
-51.182842,5,267.266793
-63.051655,16,267.313816
-78.30596,58,267.431431
-162.73729,126,267.669995
-78.47449,64,267.803229
-93.705864,55,267.987078
-108.97593,74,268.180264
11.27906,64,268.312178
-108.64482,127,268.560116
2.981392,66,268.691627
-73.728226,35,268.769804
-78.89854,54,268.883608
-61.624695,10,268.924556
27.168436,34,269.00396
-84.86476,95,269.24569
-153.33592,178,270.517982
-58.833347,13,270.559601
-71.02188,55,270.753868
29.53434,44,270.853228
-106.623215,116,271.119591
-52.9129,6,271.164115
-81.64519,28,271.253149
-69.50918,43,271.362017
-171.9834,147,271.688974
45.510925,13,271.737077
-52.447857,3,271.762762
43.619232,22,271.822328
-76.66118,45,271.92796
42.651474,25,271.992609
-53.296837,5,272.022172
44.449043,15,272.087727
-51.81245,3,272.120554
17.53864,56,272.256938
24.780943,40,272.376742
-73.8852,26,272.448479
-87.49442,34,272.529982
-54.51619,5,272.558132
-51.277035,3,272.581754
-7.893139,81,272.777157
-60.514484,11,272.823018
-162.61081,195,273.198447
-64.34818,21,273.256584
-260.4485,366,273.965115
-65.66168,33,274.049855
-55.07632,5,274.081228
-87.6077,31,274.157854
15.603867,59,274.284886
11.612133,67,274.429698
-219.357,231,274.89108
-54.307262,5,274.929756
-67.05379,22,274.999707
-80.72482,80,275.169075
-181.47499,202,276.459287
-63.06324,42,276.552925
-56.13914,18,276.603882
34.111717,35,276.682244
39.959152,25,276.746777
-288.57043,409,277.537311
-54.877087,9,277.571715
-82.281624,68,277.710975
-64.45672,23,277.768449
-69.34411,132,278.018521
-79.49773,57,278.184879
-53.729404,7,278.218488
-119.00917,67,278.353879
-54.34988,4,278.381844
-208.34657,371,279.105508
-96.401634,57,279.25258
36.88688,23,279.309499
36.112507,42,279.410379
43.147743,20,279.486775
-57.734642,7,279.527217
43.982914,17,279.5805
16.765594,55,279.703227
-61.528004,19,279.755759
-92.623116,115,280.074805
18.41606,67,280.226541
