#{"t_start": 1768471655.7888613, "env_id": "None"}
r,l,t
-201.36517,347,0.993155
-70.60586,42,1.087376
-106.312485,98,1.28836
-179.19876,201,1.665866
-63.732475,21,1.718843
25.071815,72,1.874517
-175.07182,228,2.321879
-58.535843,10,2.360542
-95.41457,126,2.61817
-182.39047,346,3.280415
-86.38469,74,3.462925
-87.06698,74,3.619037
-75.58411,34,3.701229
-54.00294,4,3.730354
-115.27471,100,3.951704
-55.1,5,3.985662
-92.34621,82,4.173909
-47.871216,138,4.47103
-101.0692,57,5.488967
-120.81482,185,5.861307
-55.937634,6,5.893749
-51.9,3,5.924715
-81.99392,32,6.008405
-274.2157,594,7.168597
-31.379936,207,7.580714
-154.15637,264,8.087781
-101.92903,97,8.285843
-203.35391,318,8.946139
-55.828823,15,8.996934
-94.2744,58,9.151357
-566.75806,1319,12.968423
-59.99568,13,13.024244
-67.914345,37,13.116254
-109.225624,76,13.287335
-83.51398,87,13.486688
-95.35652,133,13.769023
-97.38469,101,13.986672
1.9004364,145,14.273209
33.391495,44,14.370915
-111.28844,84,14.553821
-52.172962,3,14.587661
-53.879967,5,14.627199
-70.60788,59,14.802078
-79.2427,63,15.001383
-123.18492,142,16.404505
-78.68386,53,16.526577
-58.543888,21,16.586919
-151.95789,235,17.062109
-130.85135,80,17.234034
-147.24796,174,17.707589
-150.49611,196,18.178637
-63.58944,35,18.270391
-220.3819,339,18.954022
-99.96917,185,19.387928
-53.097057,6,19.424387
-61.756958,17,19.487991
-58.76244,16,19.540427
-83.72507,43,19.654185
38.369404,33,19.781016
-34.4004,188,20.194691
-110.24219,53,20.35676
-83.57544,50,20.476103
-65.82869,22,20.545139
-95.90561,99,20.795279
-93.246185,52,20.956532
-419.04333,570,23.284639
-69.75353,44,23.406646
-442.53473,1019,25.52871
-323.86713,475,26.518684
-174.0383,271,28.087252
-97.26799,77,28.298488
-54.662003,5,28.330232
-159.18118,276,28.972921
-54.23338,5,29.015881
28.87125,41,29.144153
-189.16835,208,29.621164
-88.113144,46,29.73629
-163.76297,258,30.2565
-120.26904,82,30.441496
-84.97972,314,31.064094
-71.58087,54,31.240172
-67.14606,38,31.336916
-117.18921,183,31.741476
-219.32451,374,33.407958
-93.65401,39,33.502696
-56.264435,23,33.568102
25.934874,107,33.806166
-79.98259,89,34.044805
-70.49718,54,34.181637
-94.16246,79,34.409477
-90.38234,60,34.5418
-76.95271,24,34.608967
-123.06186,93,34.808339
28.637566,78,35.000026
-91.1127,45,35.105985
-237.96465,360,35.832402
-38.664986,194,36.278696
-140.46231,93,36.517027
-65.68481,23,36.593851
-51.503277,3,36.625643
-118.410835,98,36.839413
-81.13024,66,36.989367
-121.32652,118,37.265066
-50.48284,3,37.296123
-121.369125,128,37.573031
-203.02115,599,39.783851
-66.14491,32,39.876167
-90.854065,102,40.107875
-124.86439,172,40.497299
-153.89056,155,41.096632
-11.549351,127,41.432697
-298.31628,413,42.386986
14.283287,100,42.622791
-126.659424,164,43.003778
28.000614,81,43.252553
-65.45961,44,43.367554
-187.8721,238,44.819097
48.5,5,44.853268
41.132572,19,44.913126
-91.767044,61,45.080423
49.0,4,45.114667
16.071812,91,45.329212
15.809826,87,45.556816
24.687313,51,45.684129
6.0054398,134,45.981764
-118.58448,99,46.212946
-84.14859,82,46.411266
-22.820183,227,46.909665
34.310738,32,47.002608
27.054756,47,47.125689
-74.308,49,47.259579
-66.08198,283,47.886402
-175.07939,131,48.187205
-81.48143,52,48.341641
-182.83041,236,48.844867
-69.12387,62,49.00271
35.87558,27,49.084628
-88.83507,55,49.22997
-53.688652,14,49.286736
2.4547043,102,49.517912
-63.49302,16,49.575231
-72.58055,25,49.678277
-58.23434,22,49.803256
-68.51534,26,49.88466
-98.351074,57,50.931786
-70.617615,35,51.038248
-86.16717,89,51.242808
-128.75392,392,52.147657
-72.84764,40,52.286052
-77.00657,46,52.441629
-90.739944,69,52.627313
43.817463,23,52.695926
-66.49739,17,52.759108
-53.219265,5,52.79485
-107.77734,137,53.100351
