#{"t_start": 1768472000.7766888, "env_id": "None"}
r,l,t
26.452946,81,1.179502
-156.11407,482,2.752692
6.922348,137,3.196832
-2.2007103,152,3.703336
-135.091,182,4.194974
58.617157,11,4.291273
-38.656593,183,5.069357
-59.15765,11,5.17149
13.15863,123,5.544843
22.80182,102,5.947193
-116.53676,414,7.193549
-88.19407,124,7.74024
15.849766,118,10.270743
-52.619186,3,10.380437
16.536224,102,10.825933
-99.98276,91,11.238813
29.759047,150,11.649421
-25.198135,129,12.016284
-27.21241,126,12.507906
36.82787,126,13.21531
-65.87394,45,13.576175
-84.538605,59,13.905533
-64.68953,18,14.064976
-12.200203,119,14.456716
13.90918,103,14.848922
25.294554,82,15.28029
-53.830734,47,15.517852
-105.634605,77,15.88321
-90.92996,96,16.231264
-97.427,129,16.691612
1.707119,116,17.068493
-30.933922,228,17.840333
22.6602,88,18.163271
-111.622055,116,19.681539
-154.82605,271,20.497848
-34.089355,250,21.339026
28.556767,61,21.577157
-47.21231,21,21.714113
39.445847,60,21.947662
2.2211456,110,22.401936
6.07901,120,22.819985
-67.176674,57,23.087571
57.7,13,23.175484
50.0,2,23.247561
-76.50791,86,23.535071
-93.7975,112,23.906604
-134.06683,253,24.724669
-78.67761,58,24.911084
-74.67116,46,25.082075
-52.347595,3,25.154692
-100.63277,335,26.425275
-59.73154,31,26.64812
55.52273,39,26.830259
30.14518,69,28.591995
43.798237,45,28.998401
-67.00815,29,29.286711
-97.90464,79,29.707838
-87.23303,51,30.105131
46.21591,37,30.433403
2.5285187,152,31.391071
-57.93832,7,31.535422
-62.960957,23,31.845359
-74.10224,27,32.124059
-67.61283,44,32.472965
-85.55659,62,32.862931
32.731087,87,33.44344
33.742607,49,33.807892
-25.247612,240,34.907737
52.802944,22,35.081791
-22.30767,200,35.903287
-74.47397,49,36.151062
13.839199,107,36.670267
45.632656,52,37.041742
-84.82598,48,37.268112
-256.80664,534,39.046084
-63.515167,20,39.202523
-64.99113,53,39.439966
18.41662,119,40.979207
-83.180115,41,41.152342
7.129242,121,41.528102
-59.676323,53,41.815277
53.48776,27,42.009328
3.4521027,117,42.395187
35.70726,54,42.642508
-15.996597,161,43.155293
57.152786,15,43.267373
52.22273,36,43.417827
45.87779,33,43.674721
-1.1555328,88,44.184935
-91.95402,107,44.56651
-94.890305,76,44.902128
-33.39994,199,45.515702
-89.49132,86,45.854888
21.123547,137,46.271255
-75.20085,58,46.533982
35.385902,65,46.838984
-74.557076,50,47.069126
-64.38869,16,47.196031
-114.27174,139,47.791781
-88.40254,95,48.088381
-79.419655,54,48.358465
-74.57415,67,48.614213
-66.227776,45,50.319105
49.5,3,50.393792
-55.151966,38,50.576386
-59.543716,38,50.754169
-26.27092,182,51.31208
55.657703,29,51.440965
-3.6557465,114,51.847895
-0.26654434,122,52.252219
29.290852,62,52.514682
-108.613144,174,53.090988
-99.75008,110,53.42487
-42.117676,290,54.279206
37.019253,88,54.572813
20.19838,92,54.86309
7.809803,161,55.367187
47.158577,9,55.450058
-32.423492,178,55.988369
-84.904175,66,56.272341
-119.901276,506,59.482518
-9.380093,162,59.941373
27.958513,86,60.27382
25.936563,81,60.53764
14.641476,121,61.089093
-132.42903,109,61.496213
15.833565,114,61.967105
21.22008,96,62.299906
15.959076,113,62.686845
-94.9243,74,62.979429
-80.08358,60,63.214359
7.426613,96,63.622098
-60.7394,37,63.800768
-107.93152,133,64.187035
-67.164444,35,64.348273
-70.30331,59,64.582737
13.0868,89,64.892536
-60.501953,35,65.061597
-115.65903,450,66.969574
-77.493744,44,67.175545
-55.718227,11,67.277516
-26.759285,146,67.740788
-65.52755,420,68.651264
-61.97737,45,68.855952
-76.09648,47,69.043169
-187.01048,416,70.178219
24.398285,106,70.500019
-25.700012,225,71.150128
-56.5242,13,71.261116
-240.53253,645,73.857978
5.4544716,114,74.250745
44.009274,25,74.402373
-276.98572,609,76.113838
-55.667713,8,76.191874
-64.91413,163,76.663205
-105.77501,97,76.998471
13.594902,79,77.293338
6.382393,97,77.653035
52.83647,27,77.789457
-74.31039,53,77.969838
54.089153,23,78.113409
-50.541843,25,78.248414
-195.26897,293,79.16697
-121.369484,112,79.547365
36.741043,58,79.763728
-74.86111,44,79.94694
-114.20449,142,81.353911
-74.008286,48,81.54456
-127.34902,177,82.082902
45.368454,41,82.270454
-184.35657,389,83.361079
-85.34103,69,83.643431
-93.13208,73,83.893286
30.929369,84,84.165952
-12.923389,172,84.678056
34.73908,58,84.909119
-58.89251,309,85.902756
-61.36893,56,86.139223
35.569275,44,86.315631
25.021427,155,86.704516
6.637726,155,87.147919
30.905474,57,87.403833
40.191246,80,88.945586
6.7634773,160,89.53077
48.312374,33,89.70015
50.0,1,89.776945
-370.60727,1050,93.387703
12.283886,123,93.784413
-24.382225,214,94.439268
-111.76501,163,95.04445
-101.6943,88,95.397361
10.226788,105,95.768998
34.322517,96,97.179757
-145.92676,144,97.801899
-367.29935,481,99.31707
21.365995,102,99.6431
-492.2515,1447,106.537655
21.986462,86,106.867207
48.5,5,106.947053
-175.53131,364,108.27248
29.084028,97,108.622536
-165.74109,324,109.709044
-71.07356,20,109.85302
52.58229,33,110.036617
48.56884,28,110.211088
-510.63403,1581,116.062117
-60.2378,17,116.179902
-66.268265,65,116.477698
-108.55345,101,116.85195
-121.78405,196,117.488942
-274.09296,710,119.851708
37.25077,70,120.135183
18.4751,112,120.588712
-80.18049,77,120.90629
29.538654,64,121.139777
-331.7639,619,124.485972
-143.70386,492,126.081305
-3.5631142,176,127.911095
17.783676,89,128.297065
41.683376,44,128.588215
44.17872,49,128.843602
-52.526337,3,128.921277
-9.389492,159,129.473335
-497.57208,1527,135.095112
18.9147,77,135.444172
20.268347,113,135.836466
-64.91146,45,136.041586
22.204454,97,136.393097
41.569786,44,136.588266
38.979378,70,136.853096
-62.821945,29,137.040804
-52.36077,11,137.135932
-4.471859,196,137.874942
30.506517,76,138.313107
6.9755096,124,140.338099
-118.33685,509,143.55177
45.8526,46,143.779082
-378.82547,685,146.106737
7.3129616,129,146.893946
33.695236,68,147.229716
-58.19133,24,147.366481
35.041363,46,147.586401
7.762657,148,148.208463
-28.334808,195,148.951149
37.198196,69,149.249753
-204.45912,199,151.077638
39.793865,46,151.339906
-15.802208,267,152.431539
40.574623,46,152.717484
18.282764,79,153.152877
-83.455795,69,153.467572
29.987267,75,153.761074
17.80849,76,154.039179
-88.51152,92,154.427394
46.370773,40,154.636575
58.999996,14,154.746362
25.768263,93,155.185308
10.154079,110,155.692429
-228.24571,440,157.210051
50.0,1,157.284956
-69.949486,350,158.414022
9.199589,136,159.027949
31.181692,76,159.407036
56.957047,24,159.542543
24.26512,89,161.462903
50.265675,33,161.621698
42.951977,52,161.833045
42.9741,60,162.069298
56.956387,23,162.206309
45.057747,38,162.422019
17.412312,84,163.002205
32.03106,49,163.348919
-67.7465,508,165.396974
-99.12402,45,165.662936
-97.66756,310,166.809277
31.905209,51,167.086338
19.569502,92,167.590871
2.0360947,89,167.970854
