#{"t_start": 1768412634.4974897, "env_id": "None"}
r,l,t
-136.34525,182,1.811937
-174.0459,165,2.079601
-59.87106,13,2.131292
-52.40711,4,2.171247
-60.125557,14,2.228312
-6.547783,127,2.549574
-112.177795,55,2.714081
-136.93765,73,2.88792
19.584743,58,3.016716
-51.265686,3,3.065532
-102.19946,207,3.419665
-84.66701,31,3.502039
-52.098984,4,3.543482
-53.960827,4,3.592043
-91.52321,63,3.712252
-61.411522,9,3.767219
49.75858,3,3.811428
-368.4462,279,4.634462
-401.62796,306,5.13938
49.75858,3,5.166816
-68.41884,15,5.207433
-73.70476,22,5.257535
-69.761856,18,5.302571
-183.37563,112,5.504108
-242.10707,237,6.046786
-713.7542,718,7.725953
-414.19366,624,9.349209
-178.82585,102,9.526169
-59.204506,23,9.581701
-58.63842,7,9.611286
-611.76715,788,11.472275
-64.34041,20,11.561308
-153.517,146,11.839769
-57.967915,11,11.872419
-8.537689,85,12.021734
-51.322678,5,12.043006
-146.26111,110,12.21063
-56.408207,15,12.248419
-52.914467,6,12.277544
-61.84498,15,12.313594
-221.9194,310,12.738556
-55.49138,6,12.762997
43.757484,25,12.810454
50.0,1,12.829214
-31.309402,170,13.470618
-95.949265,189,13.805457
50.0,1,13.826137
-98.19694,44,13.911072
-60.80963,12,13.947768
-115.621925,56,14.052119
-61.703876,13,14.097138
-69.44183,62,14.203018
-198.48909,278,14.620863
33.448235,35,14.683703
-63.069572,34,14.741417
-61.542522,18,14.785889
-143.26602,126,14.956736
-130.85693,66,15.088539
-64.209694,34,15.506179
-83.59641,52,15.586009
-123.448875,48,15.668328
-58.424274,14,15.706374
-81.43535,36,15.776743
-282.3713,332,16.34911
-65.26384,19,16.391362
-301.3213,252,16.748802
-109.08438,75,16.856813
-189.66238,227,17.634243
-63.11424,22,17.678561
-63.4596,14,17.716449
-111.10654,87,17.853447
-78.61063,23,17.901126
-87.757126,100,18.055904
-62.313824,11,18.103473
-114.253174,124,18.385427
-109.86235,61,18.486651
-75.60844,34,18.553464
-51.2,3,18.573784
-163.62895,85,18.741048
-262.80283,210,19.035384
-52.484818,5,19.061735
-89.668655,59,19.158959
-64.42574,14,19.195384
-102.691284,46,19.27644
-65.55645,16,19.311491
38.84327,45,19.396183
41.923267,36,19.809617
-75.92871,54,19.894728
-71.40517,31,19.952207
-102.09541,53,20.047559
-126.7262,115,20.228373
-78.06176,22,20.273241
-182.83365,116,20.53979
-54.84813,12,20.576355
-290.88425,269,20.972955
-235.6792,289,21.410821
-83.19144,27,21.461529
-193.00337,102,21.981845
-187.1945,147,22.203469
-56.95047,10,22.239346
-54.805527,7,22.266976
-80.843765,56,22.36793
-71.02328,21,22.417105
-61.17727,28,22.474685
-277.78528,340,23.058784
-130.61649,84,23.202896
-60.860054,19,23.250794
-273.864,248,23.987295
-84.940315,32,24.04871
-158.56833,108,24.220511
-73.07869,24,24.273653
-180.1319,193,24.576014
-76.83334,30,24.634372
-115.5879,132,24.866086
-134.32056,243,25.281853
14.678757,56,25.37281
38.607822,34,25.441362
49.0,4,25.463741
26.157125,47,25.544472
-84.862976,45,25.624688
42.95858,16,25.661288
36.993534,36,25.725674
-94.80337,106,26.273129
-57.01245,8,26.300334
-52.686356,5,26.324461
-455.77646,423,26.967962
-72.52608,29,27.022878
-177.35062,197,27.399359
-96.599045,96,27.544185
-85.15294,33,27.62415
-93.17705,52,27.746169
-90.00333,42,27.843704
-158.60876,115,28.553344
-282.75107,279,29.155053
-258.58228,324,29.914901
-82.45755,57,30.034867
-62.706482,11,30.065742
-453.13766,636,31.509895
42.501804,20,31.563709
-114.442566,91,31.803356
-149.93655,122,32.037976
-63.854,12,32.07231
-70.31545,36,32.136483
-90.284744,49,32.232469
-275.99356,299,32.657821
-60.29937,9,32.686739
-182.17711,363,33.590263
-66.256195,128,33.792947
-65.14871,24,33.843457
-795.2393,689,35.340993
-103.96553,70,35.456318
-64.24568,38,35.536284
-204.68648,260,36.192745
-174.67795,136,36.455744
8.916332,70,36.580814
-71.95635,20,36.624525
-236.96112,133,36.849233
-162.61343,130,37.043749
-61.18293,38,37.515658
-68.87603,24,37.565367
-211.23581,260,37.951142
-81.2328,70,38.072704
-1463.0677,1577,40.780386
-126.40261,112,41.405628
0.91739655,119,41.595504
-1184.268,1740,44.553411
-112.09851,46,44.657103
-122.08609,82,44.782562
