#{"t_start": 1768413919.1659372, "env_id": "None"}
r,l,t
-147.51115,166,0.360178
-514.23096,841,1.564206
-60.014698,14,1.601256
9.201046,62,2.132286
-147.6174,124,2.324373
-182.38547,401,2.867253
-170.14908,244,3.211999
-814.5194,1577,8.355961
-269.3988,563,9.196958
-104.10692,397,10.408901
-228.86389,302,11.14193
-1136.434,2899,20.13297
-252.718,456,21.192006
-90.40496,31,21.266879
-453.96887,1202,25.661892
-602.5154,455,26.731885
-318.83243,868,30.447197
-348.71054,457,31.834979
-289.14026,400,33.461924
-517.85455,1918,37.81988
-1771.8708,6546,50.150647
-997.121,4235,57.780302
-886.4119,1254,59.956884
