#{"t_start": 1768414635.9923704, "env_id": "None"}
r,l,t
-79.11611,61,0.188292
-101.60346,101,0.349853
-357.75436,536,1.265518
-196.80031,389,2.556313
-54.900703,8,2.585711
-97.56647,484,3.389547
-38.107887,239,3.809977
-62.645462,14,3.852295
-118.79298,166,4.118358
-51.2,3,4.137918
37.183804,78,4.706872
-121.67027,97,4.881787
-283.8918,703,6.066758
-140.56381,66,6.188071
15.566948,138,6.821426
-106.82885,42,6.899888
41.434486,63,7.010595
-123.816826,107,7.189924
-310.96646,543,8.040125
53.51409,35,8.114148
-149.72412,161,8.379548
-186.36586,157,9.074533
-106.450226,51,9.169698
-77.081474,242,9.562712
24.695694,97,9.749914
-72.84998,375,10.341195
-67.585815,32,10.417736
-183.49173,322,11.359895
-102.36347,128,11.56781
-221.33688,792,13.144492
-57.093376,282,13.606159
-115.777435,77,13.7346
-76.73466,58,13.840585
-89.638245,56,13.962821
-216.18054,333,14.521724
-72.09579,46,14.60525
-92.038284,104,15.158677
-89.46338,96,15.323987
-51.166428,302,15.844542
-106.455795,78,15.973227
-172.49832,769,17.557383
-68.45869,17,17.600736
-79.02791,518,18.716972
-542.965,1618,22.012781
-118.46818,234,22.410594
-373.96814,1159,24.71936
-5.478546,142,24.955899
-323.62244,954,26.948988
-71.121994,23,27.001357
-277.65875,280,27.904202
-259.76782,664,28.995373
-102.082825,150,29.241616
-188.9985,667,30.790107
-20.29168,272,31.245119
