#{"t_start": 1768395040.0324516, "env_id": "None"}
r,l,t
-54.740597,11,2.492947
-395.8358,365,3.199907
-76.32147,55,3.330179
-54.513332,6,3.372498
-54.05891,6,3.422327
44.496494,11,3.476404
-107.55094,84,3.657986
-78.1602,26,3.741597
-104.0668,71,3.927913
-55.16412,8,3.98365
-127.096375,89,4.187912
-86.23648,29,4.305836
-63.25979,19,4.375844
-82.599174,23,4.457814
47.04627,11,4.530529
-56.908318,6,4.585802
35.661114,43,4.688581
-342.70367,246,5.60634
-576.86847,445,6.296746
-415.6039,501,7.625577
-54.904987,5,7.653297
-89.06578,35,7.731668
-62.22213,12,7.765467
-1327.0917,1007,10.124693
-289.18518,264,10.539156
-336.29868,369,11.159127
-163.8217,130,11.369668
-83.399185,27,11.424997
-92.4259,71,11.54504
-123.00527,76,11.67494
-538.9326,493,12.982726
-53.345848,6,13.007314
-164.386,150,13.273037
-205.49533,161,13.544789
-106.4597,191,13.856558
49.376392,4,13.879853
-143.11755,71,14.534268
-72.07926,41,14.61715
-74.808556,35,14.69697
-54.52249,6,14.721956
-65.20083,13,14.763147
-195.22711,118,14.954533
39.027428,34,15.021519
49.7,3,15.044639
-82.92818,48,15.162048
-187.21812,192,15.538036
-50.44142,3,15.56665
-158.0787,99,15.745806
-58.097275,9,15.775729
-54.0559,4,15.799234
-85.52765,31,15.864106
-73.45665,37,15.94433
45.557045,13,15.985374
-151.4081,127,16.198183
-51.265686,3,16.221604
-55.708702,8,16.253145
-77.10079,33,16.398283
-88.75931,42,16.509194
-69.75314,29,16.582712
-86.04826,34,16.657083
-143.88737,62,17.228302
-195.0572,161,17.498742
-163.62029,109,17.717851
-112.87178,46,17.840607
-51.81598,3,17.867246
39.06901,24,17.920025
-773.9535,575,18.852529
-80.75881,32,18.918763
-50.7,3,18.939635
-62.645622,18,18.984685
-175.1806,204,19.764135
-121.70548,54,19.865768
6.490734,101,20.092483
-72.17225,20,20.140943
-845.9368,1270,23.016873
-129.71991,64,23.13654
-91.605225,48,23.257556
-59.811844,16,23.300823
-96.824684,35,23.372661
-270.2725,177,23.687981
-59.905033,16,23.73388
19.176483,68,23.852173
-63.072235,13,23.893521
-99.19339,46,24.439091
-52.3,3,24.464126
-190.7159,200,24.793901
-68.18588,60,24.893093
-71.935265,50,24.980745
-65.06207,16,25.032608
-17.579918,117,25.231793
-94.97711,71,25.366286
-112.40241,77,25.518261
-98.42662,69,25.635409
-53.159454,8,25.668683
-55.41799,7,25.698794
38.083767,24,25.750955
-204.28516,179,26.050669
-85.77966,28,26.108204
-147.44412,93,26.807113
-61.919365,17,26.853507
-83.46246,55,26.957026
-68.76424,22,27.018555
-61.62796,12,27.054096
49.05858,4,27.076673
-112.10504,110,27.266979
-72.471436,26,27.324918
-51.484818,4,27.349514
45.069286,14,27.385597
10.483421,60,27.495792
-139.50877,97,27.707892
-58.237015,9,27.738115
-78.054535,55,27.845975
-67.61853,19,27.891202
-64.23948,31,27.957797
-152.22307,137,28.17267
-114.25957,82,28.314299
-88.19562,66,28.427913
49.4,2,28.45336
-76.28506,42,28.538122
-1368.3585,1533,31.951005
-58.710655,19,32.002156
31.605635,52,32.133907
40.384346,17,32.185778
-56.815384,10,32.219458
-55.545204,7,32.247704
-83.69058,32,32.317204
-89.493835,65,32.433777
-62.827103,19,32.482327
-85.02324,61,32.592349
-52.447502,3,32.61696
-97.6759,71,32.749831
-93.44653,35,32.82323
-153.94458,106,32.998398
15.321224,58,33.103245
-135.33783,84,33.246785
-72.680466,50,33.993048
-118.55493,121,34.199974
-60.361916,13,34.240393
44.10354,14,34.275953
-91.05165,70,34.440185
-56.378235,7,34.475988
-58.107025,10,34.520212
-51.322678,5,34.555455
-64.14462,20,34.608962
-94.21122,83,34.758592
-54.47692,5,34.782607
-672.36444,599,35.681854
-52.003082,3,35.704838
-66.13104,25,35.766716
35.910378,23,36.331761
-51.503277,3,36.357554
49.4,2,36.378685
-100.52702,82,36.525272
-52.268528,4,36.549361
-63.17241,10,36.586297
-330.7786,576,37.532142
-62.261787,11,37.563981
-75.834724,20,37.613806
-231.94287,205,37.949455
-77.69187,35,38.018508
15.58971,67,38.162686
-190.40508,227,39.054737
-61.38761,19,39.100232
-53.229706,5,39.124916
-221.31433,216,39.463728
-54.636448,7,39.49536
-104.713715,61,39.600405
-111.9656,68,39.720066
34.99282,30,39.786023
-148.30664,155,40.068854
-60.723564,11,40.105564
-113.701996,82,40.235283
-64.567,11,40.268534
-68.22088,220,41.169547
-7.504387,98,41.342162
-55.10353,9,41.374182
-372.68118,264,41.781429
31.649977,41,41.854089
-156.3536,205,42.182546
-94.5533,75,42.306024
-70.88478,25,42.361191
-188.33623,142,42.605441
-59.05231,32,42.722001
-55.658657,9,42.768487
-90.59125,49,43.336758
49.05858,5,43.372857
-76.54504,43,43.473161
41.737953,18,43.524598
-69.271225,34,43.601158
-62.904713,18,43.645351
