#{"t_start": 1768394206.363283, "env_id": "None"}
r,l,t
-54.740597,11,2.409732
-395.8358,365,3.45536
-76.32147,55,3.646631
-54.513332,6,3.707135
-54.05891,6,3.75984
44.496494,11,3.816496
-107.55094,84,3.965015
-78.1602,26,4.046996
-104.0668,71,4.277643
-55.16412,8,4.342367
-127.096375,89,4.538155
-86.23648,29,4.647552
-63.25979,19,4.78457
-82.599174,23,4.881039
47.04627,11,4.95952
-56.908318,6,5.032109
35.661114,43,5.245319
-342.70367,246,6.306397
-576.86847,445,7.027931
-415.6039,501,8.302322
-54.904987,5,8.330458
-89.06578,35,8.394149
-62.22213,12,8.43966
-1327.0917,1007,10.996954
-289.18518,264,12.064485
-336.29868,369,12.783365
-163.8217,130,13.062211
-83.399185,27,13.122028
-92.4259,71,13.241433
-123.00527,76,13.395945
-538.9326,493,15.376563
-53.345848,6,15.421331
-164.386,150,15.749822
-205.49533,161,16.241625
-106.4597,191,16.627636
49.376392,4,16.654353
-143.11755,71,17.497255
-72.07926,41,17.632
-74.808556,35,17.720151
-54.52249,6,17.763109
-65.20083,13,17.824818
-195.22711,118,18.296131
39.027428,34,18.502489
49.7,3,18.553396
-82.92818,48,18.714556
-187.21812,192,19.242303
-50.44142,3,19.287521
-158.0787,99,19.5302
-58.097275,9,19.576524
-54.0559,4,19.604431
-85.52765,31,19.710266
-73.45665,37,19.814675
45.557045,13,19.864611
-151.4081,127,20.093451
-51.265686,3,20.126699
-55.708702,8,20.189799
-77.10079,33,20.290632
-88.75931,42,20.392099
-69.75314,29,20.47382
-86.04826,34,20.54945
-143.88737,62,21.618772
-195.0572,161,22.191488
-163.62029,109,22.444614
-112.87178,46,22.556524
-51.81598,3,22.587803
39.06901,24,22.640943
-773.9535,575,23.582626
-80.75881,32,23.645301
-50.7,3,23.668509
-62.645622,18,23.723948
-175.1806,204,24.908273
-121.70548,54,25.047294
6.490734,101,25.242905
-72.17225,20,25.309367
-845.9368,1270,28.32734
-129.71991,64,28.495931
-91.605225,48,28.594604
-59.811844,16,28.638907
-96.824684,35,28.707391
-270.2725,177,28.98455
-59.905033,16,29.023428
19.176483,68,29.145754
-63.072235,13,29.18684
-99.19339,46,29.800449
-52.3,3,29.82432
-190.7159,200,30.158719
-68.18588,60,30.275054
-71.935265,50,30.373353
-65.06207,16,30.420447
-17.579918,117,30.719741
-94.97711,71,30.845202
-112.40241,77,31.116086
-98.42662,69,31.317427
-53.159454,8,31.377038
-55.41799,7,31.407756
38.083767,24,31.465523
-204.28516,179,31.834338
-85.77966,28,31.88553
-147.44412,93,32.594847
-61.919365,17,32.644343
-83.46246,55,32.749974
-68.76424,22,32.804116
-61.62796,12,32.89046
49.05858,4,32.967784
-112.10504,110,33.248143
-72.471436,26,33.30769
-51.484818,4,33.333358
45.069286,14,33.376076
10.483421,60,33.492709
-139.50877,97,33.698295
-58.237015,9,33.729494
-78.054535,55,33.827121
-67.61853,19,33.872622
-64.23948,31,33.935688
-152.22307,137,34.142228
-114.25957,82,34.277114
-88.19562,66,34.389561
49.4,2,34.411127
-76.28506,42,34.487341
-1368.3585,1533,38.884135
-58.710655,19,38.947128
31.605635,52,39.076
40.384346,17,39.138154
-56.815384,10,39.179318
-55.545204,7,39.214911
-83.69058,32,39.286092
-89.493835,65,39.416153
-62.827103,19,39.458035
-85.02324,61,39.580249
-52.447502,3,39.608628
-97.6759,71,39.722414
-93.44653,35,39.809127
-153.94458,106,40.094653
15.321224,58,40.202185
-135.33783,84,40.370762
